# CH4 filter curve @ T=90K 
# CH4
# Wavelength (nm)	T (%)
1478.520	 0.060972843	
1478.720	 0.085921332	
1478.920	 0.055693392	
1479.119	 0.121686466	
1479.319	 0.072180696	
1479.519	 0.066027276	
1479.719	 0.060248852	
1479.919	 0.138669431	
1480.118	 0.079774573	
1480.318	 0.146134645	
1480.518	 0.138897747	
1480.718	 0.126275480	
1480.918	 0.157681301	
1481.117	 0.115606911	
1481.317	 0.018826915	
1481.517	-0.011540327	
1481.717	 0.114967138	
1481.917	 0.078799076	
1482.116	 0.084717624	
1482.316	 0.133259341	
1482.516	 0.109952174	
1482.716	 0.085512698	
1482.916	 0.114873298	
1483.115	 0.132737786	
1483.315	 0.217309311	
1483.515	 0.127674982	
1483.715	 0.121658668	
1483.915	 0.211852670	
1484.114	 0.084852308	
1484.314	 0.139409542	
1484.514	 0.132034421	
1484.714	 0.192976564	
1484.914	 0.195438817	
1485.113	 0.188155323	
1485.313	 0.282248169	
1485.513	 0.127359822	
1485.713	 0.174540028	
1485.913	 0.132930636	
1486.112	 0.231455386	
1486.312	 0.264638871	
1486.512	 0.248016238	
1486.712	 0.272118986	
1486.912	 0.272578806	
1487.111	 0.194203198	
1487.311	 0.174667090	
1487.511	 0.169849902	
1487.711	 0.307503611	
1487.911	 0.278022885	
1488.110	 0.224360645	
1488.310	 0.332463801	
1488.510	 0.288735688	
1488.710	 0.204432502	
1488.910	 0.272574395	
1489.109	 0.331633270	
1489.309	 0.294759035	
1489.509	 0.326842338	
1489.709	 0.330682874	
1489.909	 0.335332066	
1490.108	 0.327329069	
1490.308	 0.363378584	
1490.508	 0.331371069	
1490.708	 0.362889856	
1490.908	 0.344708323	
1491.107	 0.465708226	
1491.307	 0.382252723	
1491.507	 0.469742656	
1491.707	 0.448264360	
1491.907	 0.429872930	
1492.106	 0.503225386	
1492.306	 0.571704865	
1492.506	 0.593823731	
1492.706	 0.654454768	
1492.906	 0.556440890	
1493.105	 0.604052544	
1493.305	 0.715818524	
1493.505	 0.585091054	
1493.705	 0.679230094	
1493.905	 0.674416006	
1494.104	 0.739006400	
1494.304	 0.745925248	
1494.504	 0.747336864	
1494.704	 0.741315842	
1494.904	 0.918624818	
1495.103	 0.881059825	
1495.303	 0.925739884	
1495.503	 0.922252417	
1495.703	 0.988587618	
1495.903	 1.031378150	
1496.102	 1.061348319	
1496.302	 1.140076399	
1496.502	 1.228587627	
1496.702	 1.185129404	
1496.902	 1.210682869	
1497.101	 1.302504063	
1497.301	 1.343265772	
1497.501	 1.414207220	
1497.701	 1.497732997	
1497.901	 1.542116284	
1498.100	 1.586990118	
1498.300	 1.613626122	
1498.500	 1.606625319	
1498.700	 1.728125095	
1498.900	 1.785012126	
1499.099	 1.805642962	
1499.299	 1.965203643	
1499.499	 2.059770823	
1499.699	 2.125011206	
1499.899	 2.246051788	
1500.098	 2.325553894	
1500.298	 2.337874651	
1500.498	 2.495140314	
1500.698	 2.559152126	
1500.898	 2.641154051	
1501.097	 2.740869522	
1501.297	 2.862797976	
1501.497	 2.869468451	
1501.697	 2.974493742	
1501.897	 3.182626486	
1502.096	 3.223825693	
1502.296	 3.424541950	
1502.496	 3.487605333	
1502.696	 3.600753546	
1502.896	 3.606922150	
1503.095	 3.745705366	
1503.295	 3.907042742	
1503.495	 4.153222084	
1503.695	 4.231274605	
1503.895	 4.418664932	
1504.094	 4.442506313	
1504.294	 4.631199837	
1504.494	 4.786198139	
1504.694	 4.891932487	
1504.894	 5.099184513	
1505.093	 5.213651657	
1505.293	 5.353368282	
1505.493	 5.567378521	
1505.693	 5.741830349	
1505.893	 5.881865501	
1506.092	 6.153134823	
1506.292	 6.331861019	
1506.492	 6.492917061	
1506.692	 6.714877605	
1506.892	 6.906610489	
1507.091	 7.125989437	
1507.291	 7.355798244	
1507.491	 7.526865005	
1507.691	 7.773011208	
1507.891	 8.023693085	
1508.090	 8.223368645	
1508.290	 8.353951454	
1508.490	 8.721770287	
1508.690	 9.091553688	
1508.890	 9.267294884	
1509.089	 9.586561203	
1509.289	 9.840077400	
1509.489	10.212182999	
1509.689	10.424773216	
1509.889	10.829306602	
1510.088	11.155440331	
1510.288	11.464730263	
1510.488	11.835352898	
1510.688	12.233408928	
1510.888	12.596520424	
1511.087	13.026645660	
1511.287	13.469481468	
1511.487	13.840749741	
1511.687	14.286401749	
1511.887	14.855352402	
1512.086	15.286988258	
1512.286	15.808137894	
1512.486	16.337133408	
1512.686	16.922906876	
1512.886	17.419214249	
1513.085	18.066219330	
1513.285	18.608413696	
1513.485	19.364629745	
1513.685	20.096769333	
1513.885	20.678495407	
1514.084	21.548202515	
1514.284	22.126132965	
1514.484	23.037742615	
1514.684	23.881431580	
1514.884	24.705474854	
1515.083	25.618700027	
1515.283	26.401224136	
1515.483	27.502185822	
1515.683	28.526666641	
1515.883	29.576122284	
1516.082	30.528100967	
1516.282	31.907787323	
1516.482	32.918632507	
1516.682	34.171100616	
1516.882	35.236896515	
1517.081	36.608505249	
1517.281	37.843219757	
1517.481	39.232643127	
1517.681	40.601039886	
1517.881	41.864551544	
1518.080	43.507026672	
1518.280	44.914161682	
1518.480	46.483886719	
1518.680	47.848567963	
1518.880	49.521858215	
1519.079	51.181018829	
1519.279	52.761386871	
1519.479	54.283489227	
1519.679	55.971443176	
1519.879	57.442939758	
1520.078	59.197360992	
1520.278	60.758651733	
1520.478	62.433616638	
1520.678	64.056465149	
1520.878	65.565414429	
1521.077	67.191192627	
1521.277	68.928543091	
1521.477	70.409362793	
1521.677	71.869041443	
